system,source,nDCG@5,nDCG@10,P@5,P@10,MRR,FHR,Unr@5,Unr@10
original,recomputed,0.7632942575681272,0.7409058959219514,0.7572002294893861,0.7280632735021719,0.8636081741933722,1.4337349397590362,0.0,0.0
pylucene,frozen,0.685510376807866,0.6828001005292995,0.677710843373494,0.6907958364068518,0.8128309154987297,1.3993115318416522,2.1153184165232357,4.710843373493976
pylucene_gpt,frozen,0.7574481143595843,0.7496590963378755,0.7522375215146299,0.750193973171598,0.8743553061969584,1.3838209982788297,1.9380378657487092,4.289156626506024
pylucene_rerank,frozen,0.6629320827973739,0.6643643596798818,0.6606712564543891,0.676590033603803,0.7957080641676166,1.4784853700516352,1.9896729776247848,4.604130808950086
pylucene_rerank_gpt,frozen,0.7324794426265766,0.7261442903938777,0.731669535283993,0.7275114061688932,0.8462462093271043,1.4698795180722892,1.8519793459552496,4.287435456110155
rag-token,recomputed,0.8558781462649899,0.8154675696201376,0.8499426276534711,0.8255901155642981,0.9368043602983361,1.1600688468158347,3.008605851979346,6.42512908777969
rag-sentence,recomputed,0.8595411762550675,0.8234164177495432,0.8539300057372347,0.8332042455536431,0.9434021801491681,1.1462994836488813,2.9879518072289155,6.327022375215146
rag-issue,recomputed,0.871319972218809,0.8397419984572465,0.8644578313253012,0.8456595087834331,0.9412507171543316,1.1411359724612737,2.8537005163511187,5.981067125645439
